Country code,WT No.,Type,Catalogue,Short descr. (EN) 8 char,LEN,Short descr. (local language) 8 char,LEN,Long descr. (EN) 25 char,Long descr. (local language) 25 char,Short explanation  EN (255 char),Short explanation  local language (255 char),Displayed on payslip,"GLOBAL
Scope","A
Employee","B
Temp/ Seas empl","C
Apprentice","D
Students ","F
Expatriate","G
Inpatriate","1/2
Externals",Contractor,"L
Technical Group","other (E,I,K,L)","GLOBAL
Assignment",HR Process,Local Contact person (based on info from process),C&B BW Category,C&B BW Sub-Category,"GLOBAL
Input",Symbolic accounts,"Entered with + / -
(Payment +, Deduction -)",Amount /Unit,Min. limit,Max. limit,Infotype-0008,Infotype-0014,Infotype 9770 (subtypes available),Infotype 0019 (Subtype),Infotype-0015,"LOCAL
Configuration",Infotype-2010,Gross/Net?,Income Category,工资总额(法律）系统里无对应的工资项,Calculate into Monthly Gross Income -Actaul payment(payslip),Labor Union Base /191,Calculate into Monthly Taxable Income (/103)?,Monthly Net Income for Gross-up (Tax paid by ER) /104 ?,Pre-tax Gross Deduction?,Pre-tax Net Deduciton?,Post-tax Deduction? /110,Social security base  /150,Annual salary base for Statutory Leave (prevoius 12 months),Annual salary base for Severance (prevoius 12 months) /192,Annual salary base for STI  ,OT hourly rate base?,leave deduction daily rate base?,Only for GL posting?,SAP Auto-Calculating,How Amount calculated ?,Newly Add,Infotype,Information need to be maintained,Remarks,Selection,C&B,T&A,Mobility,Payroll,Separation,Company,BCL,BMSC,BMSM,BTES,BHC,BCS,BSA,GBMS,BMSQ,BTPU,GL Account,BCL ,Column 85,BMSC,BMSC,BMSM,Column 89,BTES,Column 91,BHC,Column 93,BCS,Column 95,BSA,Column 97,GBMS,Column 99,BMSQ,Column 101,BTPU,Column 103,Comments,Symbolic (Debit),"Symbolic
(Credit)",Symbolic Account Group Text
CN,2021,store,Allowance,Nor/Tra ,7,交通津贴基数,6,Transportation standard,交通津贴基数,Transportation standard,交通津贴基数,,,X,X,,X,,,,X,,,,4.1 Manage & Administer Rewards,SME-C&B,Base Pay,Other job related pay,,,+,Amount,,,,X,X,,,,,Gross,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Not Applicable,,,"eligibility (9770), standard amount, ",newly created WT,W,W,,,R,,,Y,N,N,N,Y,Y,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
CN,2030,Payment,Allowance,All/Hot,7,高温津贴,4,Hot Day Allowance,高温津贴,Hot Day Allowance,高温津贴,X,,X,X,,,,,,X,,,,4.1 Manage & Administer Rewards,SME-C&B,Base Pay,Other job related pay,,,+,Amount,,,,,,,X,,,Gross,Salary,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,Not Applicable,,,Payment Amount,,,W,,,R,,,N,Y,Y,N,N,Y,,,,,,6011000,2503300,6010050,2503001,6010050,2503001,6011000,2503300,6011540,2503300,6011000,2503300,6011000,2503300,6010050,2503001,6010050,2503001,6010050,2503001,,282C,28F9,Hot Day Allowance高温津贴
CN,2040,Payment,Allowance,All/1Chi,8,独生子女津贴,6,One Child Allowance,独生子女津贴,One Child Allowance,独生子女津贴,X,,X,X,,,,,,X,,,,4.1 Manage & Administer Rewards,SME-C&B,Base Pay,Other job related pay,,,+,Amount,,,,X,,,,,,Gross,Salary,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Not Applicable,,,Payment Amount,,,W,,,R,,,Y,Y,Y,Y,Y,Y,,,,,,6011000,2503300,6010050,2503001,6010050,2503001,6011000,2503300,6011540,2503300,6011000,2503300,6011000,2503300,6010050,2503001,6010050,2503001,6010050,2503001,,282D,28G0,One Child Allowance独生子女津贴
CN,2050,Payment,Allowance,All/FAid,8,义务急救员津贴,7,First Aid Allowance,义务急救员津贴,First Aid Allowance,义务急救员津贴,X,,X,X,,,,,,X,,,,4.1 Manage & Administer Rewards,SME-C&B,Base Pay,Other job related pay,,,+,Amount,,,,,,,X,,,Gross,Salary,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,Not Applicable,,,Payment Amount,,,W,,,R,,,N,N,N,N,N,Y,,,,,,6011000,2503300,6010050,2503001,6010050,2503001,6011000,2503300,6011540,2503300,6011000,2503300,6011000,2503300,6010050,2503001,6010050,2503001,6010050,2503001,,282E,28G1,First Aid Allowance义务急救员津贴
CN,2060,Payment,Allowance,All/Fire,8,义务消防员津贴,7,Fire Fighting Allowance,义务消防员津贴,Fire Fighting Allowance,义务消防员津贴,X,,X,X,,,,,,X,,,,4.1 Manage & Administer Rewards,SME-C&B,Base Pay,Other job related pay,,,+,Amount,,,,,,,X,,,Gross,Salary,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,Not Applicable,,,Payment Amount,,,W,,,R,,,N,N,N,N,N,Y,,,,,,6011000,2503300,6010050,2503001,6010050,2503001,6011000,2503300,6011540,2503300,6011000,2503300,6011000,2503300,6010050,2503001,6010050,2503001,6010050,2503001,,282F,28G2,Fire Fighting Allowance义务消防员津贴
CN,2070,Payment,Allowance,All/CarD,8,车折旧津贴,5,Car Depreciation Allow,车折旧津贴,Car Depreciation Allowance,车折旧津贴,X,,X,X,,,,,,X,,,,4.1 Manage & Administer Rewards,SME-C&B,Base Pay,Other job related pay,,,+,Amount,,,,X,,,,,,Gross,Salary,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,Not Applicable,,,Payment Amount,,,W,,,R,,,N,N,N,N,N,Y,,,,,,6011000,2503300,6010050,2503001,6010050,2503001,6011000,2503300,6011540,2503300,6011000,2503300,6011000,2503300,6010050,2503001,6010050,2503001,6010050,2503001,,282G,28F8,Transpor. Allow Payout 交通津贴
CN,2080,Payment,Deduction,All/Mat,7,产假工资扣减,4,Maternity Leave Deduc,产假工资扣减,Maternity Leave Deduction,产假工资扣减,X,,X,X,,,,,,X,,,,4.1 Manage & Administer Rewards,SME-Payroll,Base Pay,Other time related pay,,,-,Amount,,,,,,,X,,,Gross,Salary,N,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,Y,N,Not Applicable,,,Payment Amount + Pay Time,,,R,R,,W,,,Y,Y,Y,Y,Y,Y,,,,,,2503300,6011000,2503001,6010050,2503001,6010050,2503300,6011000,2503300,6011000,2503300,6011000,2503300,6011000,2503001,6010050,2503001,6010050,2503001,6010050,,2814,28G4,Maternity Leave Deduction产假工资
CN,2201,Store,Social Security,B/Hou,5,住房公积金基数,7,Housing Fund base,住房公积金基数,Base for Housing Fund,住房公积金基数,,,X,X,,,X,X,,X,,,,4.4 Manage Payroll,SME-Payroll,Statutory benefits,Publ. housing fund,,,+,Amount,,,,X,,,,,,Gross,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Not Applicable,,,Upload,,,R,,,W,,,Y,Y,Y,Y,Y,Y,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
CN,2202,Payment,Social Security,PHF EE,6,住房公积金个人,7,PHF EE contribution,住房公积金个人部分,Housing Fund employee contribution,住房公积金个人部分,X,,X,X,,,X,X,,X,,,,4.4 Manage Payroll,SME-Payroll,Statutory benefits,Publ. housing fund,,,+,Amount,,,,X,,,,,,Gross,Salary,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,Not Applicable,,,Upload,,,R,,,W,,,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN,2203,Payment,Social Security,PHF ER,6,住房公积金公司,7,PHF ER contribution,住房公积金公司部分,Housing Fund company contribution,住房公积金公司部分,X,,X,X,,,X,X,,X,,,,4.4 Manage Payroll,SME-Payroll,Statutory benefits,Publ. housing fund,,,+,Amount,,,,X,,,,,,Gross,Salary,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Not Applicable,,,Upload,,,R,,,W,,,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
