Country code,WT No.,Type,Catalogue,Short descr. (EN) 8 char,LEN,Short descr. (local language) 8 char,LEN,Long descr. (EN) 25 char,Long descr. (local language) 25 char,Short explanation  EN (255 char),Short explanation  local language (255 char),Displayed on payslip,"GLOBAL
Scope","A
Employee","B
Temp/ Seas empl","C
Apprentice","D
Students ","F
Expatriate","G
Inpatriate","1/2
Externals",Contractor,"L
Technical Group","other (E,I,K,L)","GLOBAL
Assignment",HR Process,Local Contact person (based on info from process),C&B BW Category,C&B BW Sub-Category,"GLOBAL
Input",Symbolic accounts,"Entered with + / -
(Payment +, Deduction -)",Amount /Unit,Min. limit,Max. limit,Infotype-0008,Infotype-0014,Infotype 9770 (subtypes available),Infotype 0019 (Subtype),Infotype-0015,"LOCAL
Configuration",Infotype-2010,Gross/Net?,Income Category,工资总额(法律）系统里无对应的工资项,Calculate into Monthly Gross Income -Actaul payment(payslip),Labor Union Base /191,Calculate into Monthly Taxable Income (/103)?,Monthly Net Income for Gross-up (Tax paid by ER) /104 ?,Pre-tax Gross Deduction?,Pre-tax Net Deduciton?,Post-tax Deduction? /110,Social security base  /150,Annual salary base for Statutory Leave (prevoius 12 months),Annual salary base for Severance (prevoius 12 months) /192,Annual salary base for STI  ,OT hourly rate base?,leave deduction daily rate base?,Only for GL posting?,SAP Auto-Calculating,How Amount calculated ?,Newly Add,Infotype,Information need to be maintained,Remarks,Selection,C&B,T&A,Mobility,Payroll,Separation,Company,BCL,BMSC,BMSM,BTES,BHC,BCS,BSA,GBMS,BMSQ,BTPU,GL Account,BCL ,Column 85,BMSC,BMSC,BMSM,Column 89,BTES,Column 91,BHC,Column 93,BCS,Column 95,BSA,Column 97,GBMS,Column 99,BMSQ,Column 101,BTPU,Column 103,Comments,Symbolic (Debit),"Symbolic
(Credit)",Symbolic Account Group Text
CN,3580,Payment,Allowance,Onb.Supp,8,异地入职协助指引,9,On-boarding Support Allow,异地入职协助指引,On-boarding Support Allowance,异地入职协助指引,X,,X,X,,,,,,X,,,,4.1 Manage & Administer Benefits,SME for S&S/SME-C&B,Other benefits,Other allowances,,,+,Amount,,,,,,,X,,,Gross,Salary,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,Not Applicable,,,Payment Amount + Pay Time,,W,R,,,R,,,Y,Y,Y,Y,Y,Y,,,,,,6033100,2503300,6023500,2503001,6023500,2503001,6033100,2503300,6033100,2503300,6033100,2503300,6033100,2503300,6023500,2503001,6023500,2503001,6023500,2503001,,2848,28J8,Relocation Settledown Allowance一次性异地安置津贴
CN,3610,Payment-Inp,Allowance,Tra.NCNY,8,公司配车津贴,6,Transpo Allow-Net CNY,公司配车津贴,Transportation Allowance-Net CNY,公司配车津贴,X,,,,,,,X,,,,,,4.1 Manage & Administer Rewards,SME for S&S/SME-C&B,Other benefits,Other benefits,,,+,Amount,,,,X,X,,,,,Net,Salary,Y,Y,Y,N,Y,N,N,N,Y,Y,Y,N,N,N,N,N,Not Applicable,,,"Eligibility, payment amount",,,W,,R,R,,,Y,Y,Y,Y,Y,Y,,,,,,6011000,2503300,6010050,2503001,6010050,2503001,6011000,2503300,6011540,2503300,6011000,2503300,6011000,2503300,6010050,2503001,6010050,2503001,6010050,2503001,,282G,28F8,Transpor. Allow Payout 交通津贴
CN,3710,Payment,Allowance,MP.All,6,通讯费,3,Mobile Phone Allowance,通讯费,Mobile Phone Allowance,通讯费,X,,X,X,,X,X,X,,,,,,4.1 Manage & Administer Rewards,SME for S&S/SME-C&B,Other benefits,Other benefits,,,+,Amount,,,,X,,,,,,Net,Salary,Y,Y,Y,N,Y,N,N,N,Y,Y,Y,N,N,N,N,N,Not Applicable,,,payment amount,,,W,,,W,,,Y,Y,Y,Y,Y,Y,,,,,,6011540,2503300,6010050,2503001,6010050,2503001,6011540,2503300,6011540,2503300,6011000,2503300,6011540,2503300,6010050,2503001,6010050,2503001,6010050,2503001,,2816,28G6,Mobile Phone Allowance通讯费
CN,3720,Payment,Allowance,Qua of Liv,9,生活质量津贴,6,Quality of Living Allowance,生活质量津贴,Qua of Liv,生活质量津贴,X,,,,,,,X,,,,,,4.1 Manage & Administer Rewards,SME for S&S/SME-C&B,Other benefits,Other benefits,,,+,Amount,,,,X,,,,,,Net,Salary,Y,Y,Y,N,Y,N,N,N,Y,Y,Y,N,N,N,N,N,Not Applicable,,,payment amount,,,W,,,R,,,Y,Y,Y,Y,Y,Y,,,,,,6033110,2503300,6010050,2503001,6010050,2503001,6033110,2503300,6033100,2503300,6033110,2503300,6033110,2503300,6010050,2503001,6010050,2503001,6010050,2503001,,28A9,28H2,Quality of Living Allowance生活质量津贴
CN,3730,Payment,Allowance,Spec Pay,8,特殊发放 (税后),4,Special Payment (Net),特殊发放 (税后),Spec Pay,特殊发放 (税后),X,,X,X,X,X,X,X,X,,,,,4.1 Manage & Administer Rewards,SME for S&S/SME-C&B,Other benefits,Other benefits,,,+,Amount,,,,,,,X,,,Net,Salary,Y,Y,Y,N,Y,N,N,N,Y,Y,Y,N,N,N,N,N,Not Applicable,,,payment amount,,,W,,,R,,,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,280A,28H4,Special Payment (Net)特殊发放 （税后）
CN,2120,Payment,Allowance,Maternit,8,生育津贴发放,6,Maternity Allowance,生育津贴发放,Maternit,生育津贴发放,X,,X,X,,,,,,,,,,4.4 Manage Payroll,SME-Payroll,Others,Others,,,+,Amount,,,,,,,X,,,Net,Salary,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Not Applicable,,,payment amount,,,,,,W,,,Y,Y,Y,Y,Y,Y,,,,,,6011000,2503300,6010050,2503001,6010050,2503001,6011000,2503300,6011000,2503300,6011000,2503300,6011000,2503300,6010050,2503001,6010050,2503001,6010050,2503001,,2818,28G8,Maternity Allowance生育津贴发放
CN,3620,Payment-Inp,Allowance,Rel.NFC,7,一次性安置补贴,7,Relo Allow-Net FC,一次性异地安置补贴,Relocation Allowance For Inter. Mobility-Net FC,一次性异地安置补贴,X,,,,,,,X,,,,,,4.1 Manage & Administer Rewards,SME for S&S/SME-C&B,Mobility-related compensation,Mobility allowances,,,+,Amount,,,,,,,X,,,Net,Salary,Y,Y,Y,N,Y,N,N,N,Y,Y,Y,N,N,N,N,N,Not Applicable,,,"payment amount, payment time",,,W,,R,R,,,Y,Y,Y,Y,Y,Y,,,,,,6033100,2503300,6023500,2503001,6023500,2503001,6033100,2503300,6033100,2503300,6033100,2503300,6033100,2503300,6023500,2503001,6023500,2503001,6023500,2503001,,2856,28K6,Relo Allow-Net FC一次性安置补贴
CN,3630,Payment-Inp,Allowance,HL.NCNY,7,异地派遣探亲津贴,8,HL Allow-Net CNY,异地派遣探亲津贴,Home leave Allowance For Inter Mobility-Net CNY,异地派遣探亲津贴,X,,,,,,,X,,,,,,4.1 Manage & Administer Rewards,SME for S&S/SME-C&B,Mobility-related compensation,Mobility allowances,,,+,Amount,,,,X,,,,,,Net,Salary,Y,Y,Y,N,Y,N,N,N,Y,Y,Y,N,N,N,N,N,Not Applicable,,,payment amount,,,W,,R,R,,,Y,Y,Y,Y,Y,Y,,,,,,6033100,2503300,6023500,2503001,6023500,2503001,6033100,2503300,6033100,2503300,6033100,2503300,6033100,2503300,6023500,2503001,6023500,2503001,6023500,2503001,,2857,28K7,HL Allow-Net CNY异地派遣探亲津贴
CN,3640,Payment-Inp,Allowance,F.S.NFC,7,家庭分居津贴,6,Family sepa allow-N FC,家庭分居津贴,Family separation allowance-NFC,家庭分居津贴,X,,,,,,,X,,,,,,4.1 Manage & Administer Rewards,SME for S&S/SME-C&B,Mobility-related compensation,Mobility allowances,,,+,Amount,,,,,,,X,,,Net,Salary,Y,Y,Y,N,Y,N,N,N,Y,Y,Y,N,N,N,N,N,Not Applicable,,,"payment amount, payment time",,,W,,R,R,,,Y,Y,Y,Y,Y,Y,,,,,,6033100,2503300,6023500,2503001,6023500,2503001,6033100,2503300,6033100,2503300,6033100,2503300,6033100,2503300,6023500,2503001,6023500,2503001,6023500,2503001,,2858,28K8,Family separation allowance-NFC家庭分居津贴
CN,3650,Payment-Inp,Allowance,E.A.NFC,7,电气津贴,4,Elec appliance Allow-N FC,电气津贴,Electrial appliance Allowance – NFC,电气津贴,X,,,,,,,X,,,,,,4.1 Manage & Administer Rewards,SME for S&S/SME-C&B,Mobility-related compensation,Mobility allowances,,,+,Amount,,,,,,,X,,,Net,Salary,Y,Y,Y,N,Y,N,N,N,Y,Y,Y,N,N,N,N,N,Not Applicable,,,"payment amount, payment time",,,W,,R,R,,,Y,Y,Y,Y,Y,Y,,,,,,6033100,2503300,6023500,2503001,6023500,2503001,6033100,2503300,6033100,2503300,6033100,2503300,6033100,2503300,6023500,2503001,6023500,2503001,6023500,2503001,,2859,28K9,Electrial appliance Allowance – NFC电气津贴
CN,3660,Payment-Inp,Allowance,P.S.NFC,7,家属支持津贴,6,Partner Support-N FC,家属支持津贴,Partner Support – NFC,家属支持津贴,X,,,,,,,X,,,,,,4.1 Manage & Administer Rewards,SME for S&S/SME-C&B,Mobility-related compensation,Mobility allowances,,,+,Amount,,,,,,,X,,,Net,Salary,Y,Y,Y,N,Y,N,N,N,Y,Y,Y,N,N,N,N,N,Not Applicable,,,"payment amount, payment time",,,W,,R,R,,,Y,Y,Y,Y,Y,Y,,,,,,6033100,2503300,6023500,2503001,6023500,2503001,6033100,2503300,6033100,2503300,6033100,2503300,6033100,2503300,6023500,2503001,6023500,2503001,6023500,2503001,,2860,28L0,Partner Support – NFC家属支持津贴
CN,3670,Payment-Exp,Allowance,Ass.GCNY,8,短期派遣津贴,6,Short-term Assign-CNY,短期派遣津贴,Short term Assignment Allowance-CNY,短期派遣津贴,X,,,,,,X,,,,,,,4.1 Manage & Administer Rewards,SME for S&S/SME-C&B,Mobility-related compensation,Mobility allowances,,,+,Amount,,,,,,,X,,,Gross,Salary,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Not Applicable,,,"payment amount, payment time",,,W,,R,R,,,Y,Y,Y,Y,Y,Y,,,,,,6033100,2503300,6023500,2503001,6023500,2503001,6033100,2503300,6033100,2503300,6033100,2503300,6033100,2503300,6023500,2503001,6023500,2503001,6023500,2503001,check with Daisy,2861,28L1,Short term Assignment Allowance-Net CNY短期派遣津贴
CN,3680,Payment-Exp,Allowance,H.O.GCNY,8,房屋辅助津贴,6,Home Owner Assis-Gross CNY,房屋辅助津贴 - 本币(含税),Home Owner Assistance-Gross CNY,房屋辅助津贴 - 本币(含税),X,,,,,,X,,,,,,,4.1 Manage & Administer Rewards,SME for S&S/SME-C&B,Mobility-related compensation,Mobility allowances,,,+,Amount,,,,,,,X,,,Gross,Salary,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Not Applicable,,,"payment amount, payment time",,,W,,R,R,,,Y,Y,Y,Y,Y,Y,,,,,,6033100,2503300,6023500,2503001,6023500,2503001,6033100,2503300,6033100,2503300,6033100,2503300,6033100,2503300,6023500,2503001,6023500,2503001,6023500,2503001,check with Daisy,2862,28L2,Home Owner Assistance 房屋辅助津贴
CN,3690,Payment-Exp,Allowance,Rep.GCNY,8,归国津贴,6,Repatriation allowance,归国津贴,Repatriation allowance,归国津贴,X,,,,,,X,,,,,,,4.1 Manage & Administer Rewards,SME-C&B,Mobility-related compensation,Mobility allowances,,,+,Amount,,,,,,,X,,,Gross,Salary,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Not Applicable,,,"payment amount, payment time",,,W,,R,R,,,Y,Y,Y,Y,Y,Y,,,,,,6033100,2503300,6023500,2503001,6023500,2503001,6033100,2503300,6033100,2503300,6033100,2503300,6033100,2503300,6023500,2503001,6023500,2503001,6023500,2503001,New,2873,28M3,Repatriation allowance 归国津贴
CN,3681,Payment-Inp,Allowance,H.O.NFC,7,房屋辅助津贴-外币,9,Home Owner Assis-N FC,房屋辅助津贴- 外币(公司付税),Home Owner Assistance-NFC,房屋辅助津贴- 外币(公司付税),X,,,,,,,X,,,,,,4.1 Manage & Administer Rewards,SME for S&S/SME-C&B,Mobility-related compensation,Mobility allowances,,,+,Amount,,,,,,,X,,,Net,Salary,Y,Y,Y,N,Y,N,N,N,Y,Y,Y,N,N,N,N,N,Not Applicable,,,"payment amount, payment time",,,W,,R,R,,,Y,Y,Y,Y,Y,Y,,,,,,6033100,2503300,6023500,2503001,6023500,2503001,6033100,2503300,6033100,2503300,6033100,2503300,6033100,2503300,6023500,2503001,6023500,2503001,6023500,2503001,check with Daisy,2862,28L2,Home Owner Assistance 房屋辅助津贴
CN,3682,Payment-Inp,Allowance,H.O.NCNY,7,外籍员工住房补贴 ,9,House Saving-Net CNY ,外籍员工住房补贴 ,House Saving-Net CNY ,外籍员工住房补贴 ,X,,,,,,,X,,,,,,4.1 Manage & Administer Rewards,SME for S&S/SME-C&B,Mobility-related compensation,Mobility allowances,,,+,Amount,,,,X,,,,,,Net,Salary,Y,Y,Y,N,Y,N,N,N,Y,Y,Y,N,N,N,N,N,Not Applicable,,,"payment amount, payment time",,,W,,R,R,,,Y,Y,Y,Y,Y,Y,,,,,,6033100,2503300,6023500,2503001,6023500,2503001,6033100,2503300,6033100,2503300,6033100,2503300,6033100,2503300,6023500,2503001,6023500,2503001,6023500,2503001,,280I,28BC,House Saving-Net CNY 外籍员工住房补贴
CN,5000,Payment,Bonus,Sal.Inc1,8,销售奖金,4,Sales Incentive,销售奖金,Sales Incentive,销售奖金,X,,X,X,,,,,,X,,,,4.1 Manage & Administer Rewards,SME-C&B,Variable Payments,Local Sales Incentives,,,+,Amount,,,,,,,X,,,Gross,Salary,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,Not Applicable,,,Payment Amount + Pay Time,,W (9770),W (0015),,,R,,,N,N,N,N,Y,N,,,,,,6011500,2503300,6010400,2503001,6010400,2503001,6011500,2503300,"6011500
6011503",2503300,6011500,2503300,6011500,2503300,6010400,2503001,6010400,2503001,6010400,2503001,,282J,28K5,Sales Incentive 销售奖金
CN,5002,Payment,Bonus,SI Adj,8,销售奖金调整,4,Sales Incentive Adjustment,销售奖金调整,SI Adj,销售奖金调整,X,,X,X,,,,,,X,,,,4.1 Manage & Administer Rewards,SME-C&B,Variable Payments,Local Sales Incentives,,,+,Amount,,,,,,,X,,,Gross,Salary,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,Not Applicable,,,Payment Amount + Pay Time,,,W (0015),,,R,,,N,N,N,N,Y,N,,,,,,6011500,2503300,6010400,2503001,6010400,2503001,6011500,2503300,"6011500
6011503",2503300,6011500,2503300,6011500,2503300,6010400,2503001,6010400,2503001,6010400,2503001,,282J,28K5,Sales Incentive 销售奖金
CN,5351,Payment,Tax Adj,TaxAdj,7,个人所得税调整,4,IIT Adjustment,个人所得税调整,TaxAdj,个人所得税调整,X,,X,X,,X,,,,X,,,,4.4 Manage Payroll,SME-Payroll,Others,Others,,,+,Amount,,,,,,,X,,,Gross,Salary,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,Not Applicable,,,Payment Amount + Pay Time,,,R,,,W,,,Y,Y,Y,Y,Y,Y,,,,,,6011000,2503300,6010050,2503001,6010050,2503001,6011000,2503300,6011000,2503300,6011000,2503300,6011000,2503300,6010050,2503001,6010050,2503001,6010050,2503001,,2871,28M1,Miscellaneous 其它调整
CN,5001,Payment,Bonus,Sal.Inc2,8,销售奖金(年度计税),10,Sales Incentives -Bonus Tax,销售奖金(年度计税),Sales Incentives applying bonus taxation,销售奖金(年度计税),X,,X,X,,,,,,X,,,,4.1 Manage & Administer Rewards,SME-C&B,Variable Payments,Local Sales Incentives,,,+,Amount,,,,,,,X,,,Gross,One time Bonus,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,Not Applicable,,,Payment Amount + Pay Time,,,W (0015),,,R,,,N,N,N,N,Y,N,,,,,,6011500,2503300,6010400,2503001,6010400,2503001,6011500,2503300,"6011500
6011503",2503300,6011500,2503300,6011500,2503300,6010400,2503001,6010400,2503001,6010400,2503001,,282J,28K5,Sales Incentive 销售奖金
CN,5010,Payment,Bonus,Awd.Spot,8,即时嘉奖,4,On-The-Spot Award,即时嘉奖,On-The-Spot Award,即时嘉奖,X,,X,X,,,,,,X,,,,4.1 Manage & Administer Rewards,SME-C&B,Variable Payments,Other Local Incentives,,,+,Amount,,,,,,,X,,,Gross,Salary,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,Not Applicable,,,Payment Amount + Pay Time,,,W,,,R,,,Y,Y,Y,Y,Y,Y,,,,,,6011500,2503300,6010400,2503001,6010400,2503001,6011500,2503300,6011500,2503300,6011500,2503300,6011500,2503300,6010400,2503001,6010400,2503001,6010400,2503001,,2863,28L3,On-The-Spot Award即时嘉奖
CN,5020,Payment,Bonus,Awd.Rec,7,特殊贡献奖,5,Special Recognition Award,特殊贡献奖,Special Recognition Award,特殊贡献奖,X,,X,X,,,,,,X,,,,4.1 Manage & Administer Rewards,SME-C&B,Variable Payments,Other Local Incentives,,,+,Amount,,,,,,,X,,,Gross,Salary,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,Not Applicable,,,Payment Amount + Pay Time,,,W,,,R,,,Y,Y,Y,Y,Y,Y,,,,,,6011500,2503300,6010400,2503001,6010400,2503001,6011500,2503300,6011500,2503300,6011500,2503300,6011500,2503300,6010400,2503001,6010400,2503001,6010400,2503001,,2864,28L4,Special Recognition Award-NCNY特殊贡献奖
CN,5030,Payment,Bonus,Awd.Pre,7,总裁嘉奖,4,President Award,总裁嘉奖,President Award,总裁嘉奖,X,,X,X,,,,,,X,,,,4.1 Manage & Administer Rewards,SME-C&B,Variable Payments,Other Local Incentives,,,+,Amount,,,,,,,X,,,Gross,Salary,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,Not Applicable,,,Payment Amount + Pay Time,,,W,,,R,,,Y,Y,Y,Y,Y,Y,,,,,,6011500,2503300,6010400,2503001,6010400,2503001,6011500,2503300,6011500,2503300,6011500,2503300,6011500,2503300,6010400,2503001,6010400,2503001,6010400,2503001,,2865,28L5,President Award总裁嘉奖
CN,5040,Payment,Bonus,Awd.Int,7,知识产权奖励,6,Intellectual Property R.,知识产权奖励,Intellectual Property Rights Rewards,知识产权奖励,X,,X,X,,,,,,X,,,,4.1 Manage & Administer Rewards,SME-C&B,Variable Payments,Other Local Incentives,,,+,Amount,,,,,,,X,,,Gross,Salary,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,Not Applicable,,,Payment Amount + Pay Time,,,W,,,R,,,Y,Y,Y,N,N,N,,,,,,6011500,2503300,6010050,2503001,6010050,2503001,6011500,2503300,6011500,2503300,6011500,2503300,6011500,2503300,6010050,2503001,6010050,2503001,6010050,2503001,,2866,28L6,Intellectual Property Rights Rewards知识产权奖励
CN,5050,Payment,Bonus,Refer.B,7,推荐奖金,4,Referral Bonus,推荐奖金,Referral Bonus,推荐奖金,X,,X,X,,,,,,X,,,,2.1 Manage Source & Select,SME-S&S,Variable Payments,Other Local Incentives,,,+,Amount,,,,,,,X,,,Gross,Salary,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,Not Applicable,,,Payment Amount + Pay Time,,W,R,,,R,,,Y,Y,Y,Y,Y,Y,,,,,,6011500,2503300,6010400,2503001,6010400,2503001,6011500,2503300,6011500,2503300,6011500,2503300,6011500,2503300,6010400,2503001,6010400,2503001,6010400,2503001,costcenter adjustment needed,2867,28L7,Referral Bonus推荐奖金
CN,5060,Payment,Bonus,Sign.B,6,签约奖金,4,Sign-on Bonus,签约奖金,Sign-on Bonus,签约奖金,X,,X,X,,,,,,X,,,,2.1 Manage Source & Select,SME-S&S,Variable Payments,Other Local Incentives,,,+,Amount,,,,,,,X,,,Gross,Salary,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,Not Applicable,,,Payment Amount + Pay Time,,W,R,,,R,,,Y,Y,Y,Y,Y,Y,,,,,,6011500,2503300,6010400,2503001,6010400,2503001,6011500,2503300,6011500,2503300,6011500,2503300,6011500,2503300,6010400,2503001,6010400,2503001,6010400,2503001,,2868,28L8,Sign-on Bonus签约奖金
CN,5070,Payment,Bonus,Other.B1,8,其他奖金(年度计税),10,Other Bonus - Bonus Tax,其他奖金(年度计税),Other bonus applying bonus taxation,其他奖金(年度计税),X,,X,X,,,,,,X,,,,4.1 Manage & Administer Rewards,SME-C&B,Variable Payments,Other Local incentives,,,+,Amount,,,,,,,X,,,Gross,One time Bonus,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,Not Applicable,,,Payment Amount + Pay Time,,,W,,,R,,,Y,Y,Y,Y,Y,Y,,,,,,6011500,2503300,6010400,2503001,6010400,2503001,6011500,2503300,6011500,2503300,6011500,2503300,6011500,2503300,6010400,2503001,6010400,2503001,6010400,2503001,,2869,28L9,Other bonus applying bonus taxation其他奖金(年度计税)
CN,5080,Payment,Bonus,Other.B2,8,其他奖金,4,Other Bonus,其他奖金,Other Bonus,其他奖金,X,,X,X,,,,,,X,,,,4.1 Manage & Administer Rewards,SME-C&B,Variable Payments,Other Local incentives,,,+,Amount,,,,,,,X,,,Gross,Salary,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,Not Applicable,,,Payment Amount + Pay Time,,,W,,,R,,,Y,Y,Y,Y,Y,Y,,,,,,6011500,2503300,6010400,2503001,6010400,2503001,6011500,2503300,6011500,2503300,6011500,2503300,6011500,2503300,6010400,2503001,6010400,2503001,6010400,2503001,,2870,28M0,Other Bonus其他奖金
CN,5180,Payment,Bonus,Proj.B,6,项目奖金,4,Project Bonus,项目奖金,Project Bonus,项目奖金,X,,X,X,,,,X,,X,,,,4.1 Manage & Administer Rewards,SME-C&B,Variable Payments,Other Local incentives,,,+,Amount,,,,,,,X,,,Gross,Salary,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,Not Applicable,,,Payment Amount + Pay Time,,,W,,,R,,,N,N,N,Y,N,N,,,,,,6011500,2503300,6010400,2503001,6010400,2503001,6011500,2503300,6011500,2503300,6011500,2503300,6011500,2503300,6010400,2503001,6010400,2503001,6010400,2503001,New,2875,28M5,Project Bonus 项目奖金
CN,5181,Payment,Bonus,Proj.B.BTES,6,项目奖金(BTES使用）,4,Project Bonus(BTES use),项目奖金(BTES使用）,Project Bonus,项目奖金,"X,Display Project Bonus 项目奖金",,X,X,,,,X,,X,,,,4.1 Manage & Administer Rewards,SME-C&B,Variable Payments,Other Local incentives,,,+,Amount,,,,,,,X,,,Gross,Salary,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,Not Applicable,,,Payment Amount + Pay Time,,,W,,,R,,,N,N,N,Y,N,N,,,,,,,,,,,,2103204,2503300,,,,,,,,,,,,,,28FI,28FJ,Project Bonus 项目奖金 (BTES使用）
CN,5182,Payment,Bonus,GrandPay,6,薪酬承继差额,4,Grandfathering Payment,薪酬承继差额,For grandfathering demotion cases ,用于发放薪酬承继差额,X,,X,X,,,,X,,X,,,,4.1 Manage & Administer Rewards,SME-C&B,Variable Payments,Other Local payment,,,+,Amount,,,,X,,,,,,Gross,Bonus,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,Not Applicable,,,Payment Amount + Pay Time,,,W,,,R,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,6011000,2503300,6010050,2503001,6010050,2503001,6011000,2503300,6011000,2503300,6011000,2503300,6011000,2503300,6010050,2503001,6010050,2503001,6010050,2503001,,28Y8,28Y9,
CN,3012,Payment,,,,其他离职收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gorss,Bonus,Y,Y,Y,Y,N,N,N,N,Y,,,,,,,, ,,,Payment Amount + Pay Time,,,W,,,R,,,,,,,,,,,,,,6011000,2503300,6010050,2503001,6010050,2503001,6011000,2503300,6039100,2503300,6011000,2503300,6011000,2503300,6010050,2503001,6010050,2503001,6010050,2503001,,28Z0,28Z1,
CN,5081,Payment-Inp,Bonus,Bon.NCNY,8,其他奖金-本币,7,Other Bonus-Net CNY,其他奖金-本币,Other Bonus-Net CNY,其他奖金-本币,X,,,,,,,X,,,,,,4.1 Manage & Administer Rewards,SME-C&B,Variable Payments,Other Local Incentives,,,+,Amount,,,,,,,X,,,Net,Salary,Y,Y,Y,N,Y,N,N,N,Y,Y,Y,N,N,N,N,N,Not Applicable,,,"payment amount, payment time",,,W,,,R,,,Y,Y,Y,Y,Y,Y,,,,,,6011500,2503300,6010400,2503001,6010400,2503001,6011500,2503300,6011500,2503300,6011500,2503300,6011500,2503300,6010400,2503001,6010400,2503001,6010400,2503001,,2870,28M0,Other Bonus其他奖金
CN,5082,Payment-Inp,Bonus,Bon.NFC,7,其他奖金-外币,7,Other Bonus-Net FC,其他奖金-外币,Other Bonus-Net FC,其他奖金-外币,X,,,,,,,X,,,,,,4.1 Manage & Administer Rewards,SME-C&B,Variable Payments,Other Local Incentives,,,+,Amount,,,,,,,X,,,Net,Salary,Y,Y,Y,N,Y,N,N,N,Y,Y,Y,N,N,N,N,N,Not Applicable,,,"payment amount, payment time",,,W,,,R,,,Y,Y,Y,Y,Y,Y,,,,,,6011500,2503300,6010400,2503001,6010400,2503001,6011500,2503300,6011500,2503300,6011500,2503300,6011500,2503300,6010400,2503001,6010400,2503001,6010400,2503001,,2870,28M0,Other Bonus其他奖金
CN,5090,Payment-Inp,Bonus,Bon.NCNY,8,其他奖金-本币(年度计税),7,Other Bonus-Net CNY,其他奖金-本币,Other Bonus-Net CNY,其他奖金-本币,X,,,,,,,X,,,,,,4.1 Manage & Administer Rewards,SME-C&B,Variable Payments,Other Local Incentives,,,+,Amount,,,,,,,X,,,Net,One time Bonus,Y,Y,Y,N,Y,N,N,N,Y,Y,Y,N,N,N,N,N,Not Applicable,,,"payment amount, payment time",,,W,,,R,,,Y,Y,Y,Y,Y,Y,,,,,,6011500,2503300,6010400,2503001,6010400,2503001,6011500,2503300,6011500,2503300,6011500,2503300,6011500,2503300,6010400,2503001,6010400,2503001,6010400,2503001,,2870,28M0,Other Bonus其他奖金
CN,5091,Payment-Inp,Bonus,Bon.NFC,7,其他奖金-外币(年度计税),7,Other Bonus-Net FC,其他奖金-外币,Other Bonus-Net FC,其他奖金-外币,X,,,,,,,X,,,,,,4.1 Manage & Administer Rewards,SME-C&B,Variable Payments,Other Local Incentives,,,+,Amount,,,,,,,X,,,Net,One time Bonus,Y,Y,Y,N,Y,N,N,N,Y,Y,Y,N,N,N,N,N,Not Applicable,,,"payment amount, payment time",,,W,,,R,,,Y,Y,Y,Y,Y,Y,,,,,,6011500,2503300,6010400,2503001,6010400,2503001,6011500,2503300,6011500,2503300,6011500,2503300,6011500,2503300,6010400,2503001,6010400,2503001,6010400,2503001,,2870,28M0,Other Bonus其他奖金
CN,5100,Payment-Inp,Bonus,Awa.NCNY,8,即时嘉奖-本币,7,On-The-Spot Award-N CNY,即时嘉奖-本币,On-The-Spot Award-NCNY,即时嘉奖-本币,X,,,,,,,X,,,,,,4.1 Manage & Administer Rewards,SME-C&B,Variable Payments,Other Local Incentives,,,+,Amount,,,,,,,X,,,Net,Salary,Y,Y,Y,N,Y,N,N,N,Y,Y,Y,N,N,N,N,N,Not Applicable,,,"payment amount, payment time",,,W,,,R,,,Y,Y,Y,Y,Y,Y,,,,,,6011500,2503300,6010400,2503001,6010400,2503001,6011500,2503300,6011500,2503300,6011500,2503300,6011500,2503300,6010400,2503001,6010400,2503001,6010400,2503001,,2872,28M2,On-The-Spot Award-NCNY即时嘉奖
